m,Cost,Algorithm
4,2,Greedy
4,2,Greedy
4,2,Greedy
4,1,Greedy
4,2,Greedy
4,2,Greedy
4,1,Greedy
4,1,Greedy
4,0,Greedy
4,1,Greedy
4,1,Greedy
4,1,Greedy
4,0,Greedy
4,0,Greedy
4,5,Greedy
4,1,Greedy
4,1,Greedy
5,1,Greedy
5,1,Greedy
5,1,Greedy
5,2,Greedy
5,2,Greedy
5,3,Greedy
5,4,Greedy
5,2,Greedy
5,2,Greedy
5,2,Greedy
5,0,Greedy
5,2,Greedy
5,1,Greedy
5,1,Greedy
5,0,Greedy
5,3,Greedy
5,9,Greedy
5,1,Greedy
5,1,Greedy
5,1,Greedy
5,3,Greedy
5,0,Greedy
5,1,Greedy
5,1,Greedy
5,4,Greedy
6,0,Greedy
6,7,Greedy
6,10,Greedy
6,2,Greedy
6,8,Greedy
6,0,Greedy
6,3,Greedy
6,7,Greedy
6,2,Greedy
6,20,Greedy
6,1,Greedy
6,9,Greedy
6,1,Greedy
6,11,Greedy
6,7,Greedy
6,1,Greedy
6,12,Greedy
6,2,Greedy
6,15,Greedy
6,3,Greedy
6,8,Greedy
6,6,Greedy
6,7,Greedy
6,1,Greedy
6,4,Greedy
7,6,Greedy
7,6,Greedy
7,6,Greedy
7,27,Greedy
7,5,Greedy
7,2,Greedy
7,14,Greedy
7,4,Greedy
7,4,Greedy
7,5,Greedy
7,0,Greedy
7,5,Greedy
7,1,Greedy
7,0,Greedy
7,13,Greedy
7,2,Greedy
7,2,Greedy
7,7,Greedy
7,1,Greedy
7,19,Greedy
7,5,Greedy
7,4,Greedy
7,2,Greedy
7,15,Greedy
7,3,Greedy
8,25,Greedy
8,14,Greedy
8,12,Greedy
8,6,Greedy
8,0,Greedy
8,4,Greedy
8,0,Greedy
8,1,Greedy
8,1,Greedy
8,6,Greedy
8,27,Greedy
8,1,Greedy
8,24,Greedy
8,16,Greedy
8,8,Greedy
8,49,Greedy
8,42,Greedy
8,13,Greedy
8,43,Greedy
8,21,Greedy
8,15,Greedy
8,0,Greedy
8,1,Greedy
8,25,Greedy
8,27,Greedy
9,47,Greedy
9,32,Greedy
9,4,Greedy
9,3,Greedy
9,106,Greedy
9,8,Greedy
9,18,Greedy
9,20,Greedy
9,3,Greedy
9,61,Greedy
9,54,Greedy
9,49,Greedy
9,30,Greedy
9,38,Greedy
9,32,Greedy
9,8,Greedy
9,28,Greedy
9,58,Greedy
9,54,Greedy
9,93,Greedy
9,54,Greedy
9,1,Greedy
9,33,Greedy
9,6,Greedy
9,59,Greedy
10,34,Greedy
10,5,Greedy
10,46,Greedy
10,43,Greedy
10,147,Greedy
10,3,Greedy
10,37,Greedy
10,133,Greedy
10,181,Greedy
10,23,Greedy
10,13,Greedy
10,4,Greedy
10,68,Greedy
10,102,Greedy
10,30,Greedy
10,60,Greedy
10,119,Greedy
10,83,Greedy
10,122,Greedy
10,80,Greedy
10,104,Greedy
10,75,Greedy
10,43,Greedy
10,17,Greedy
10,18,Greedy
11,18,Greedy
11,191,Greedy
11,9,Greedy
11,89,Greedy
11,116,Greedy
11,38,Greedy
11,199,Greedy
11,17,Greedy
11,58,Greedy
11,396,Greedy
11,74,Greedy
11,272,Greedy
11,71,Greedy
11,259,Greedy
11,45,Greedy
11,143,Greedy
11,162,Greedy
11,79,Greedy
11,107,Greedy
11,1,Greedy
11,326,Greedy
11,207,Greedy
11,133,Greedy
11,2,Greedy
11,37,Greedy
12,14,Greedy
12,427,Greedy
12,219,Greedy
12,1727,Greedy
12,132,Greedy
12,95,Greedy
12,180,Greedy
12,34,Greedy
12,30,Greedy
12,5,Greedy
12,559,Greedy
12,976,Greedy
12,121,Greedy
