n,Cost,Algorithm
7,9,Complete Greedy
7,37,Complete Greedy
7,0,Complete Greedy
7,41,Complete Greedy
7,14,Complete Greedy
7,20,Complete Greedy
7,34,Complete Greedy
7,29,Complete Greedy
7,2,Complete Greedy
7,24,Complete Greedy
7,79,Complete Greedy
7,8,Complete Greedy
7,8,Complete Greedy
7,15,Complete Greedy
8,35,Complete Greedy
8,15,Complete Greedy
8,20,Complete Greedy
8,59,Complete Greedy
8,1,Complete Greedy
8,37,Complete Greedy
8,3,Complete Greedy
8,18,Complete Greedy
8,14,Complete Greedy
8,0,Complete Greedy
8,8,Complete Greedy
8,7,Complete Greedy
8,5,Complete Greedy
8,97,Complete Greedy
8,5,Complete Greedy
8,1,Complete Greedy
8,11,Complete Greedy
8,9,Complete Greedy
8,1,Complete Greedy
8,115,Complete Greedy
8,18,Complete Greedy
8,52,Complete Greedy
8,4,Complete Greedy
8,20,Complete Greedy
8,8,Complete Greedy
9,7,Complete Greedy
9,65,Complete Greedy
9,9,Complete Greedy
9,15,Complete Greedy
9,0,Complete Greedy
9,28,Complete Greedy
9,9,Complete Greedy
9,2,Complete Greedy
9,54,Complete Greedy
9,12,Complete Greedy
9,10,Complete Greedy
9,13,Complete Greedy
9,30,Complete Greedy
9,80,Complete Greedy
9,6,Complete Greedy
9,40,Complete Greedy
9,3,Complete Greedy
9,31,Complete Greedy
9,8,Complete Greedy
9,70,Complete Greedy
9,7,Complete Greedy
9,21,Complete Greedy
9,6,Complete Greedy
9,22,Complete Greedy
9,7,Complete Greedy
10,20,Complete Greedy
10,21,Complete Greedy
10,28,Complete Greedy
10,12,Complete Greedy
10,1,Complete Greedy
10,33,Complete Greedy
10,24,Complete Greedy
10,39,Complete Greedy
10,47,Complete Greedy
10,21,Complete Greedy
10,13,Complete Greedy
10,7,Complete Greedy
10,26,Complete Greedy
10,2,Complete Greedy
10,23,Complete Greedy
10,10,Complete Greedy
10,1,Complete Greedy
10,26,Complete Greedy
10,1,Complete Greedy
10,12,Complete Greedy
10,9,Complete Greedy
10,14,Complete Greedy
10,4,Complete Greedy
10,5,Complete Greedy
10,19,Complete Greedy
11,22,Complete Greedy
11,29,Complete Greedy
11,27,Complete Greedy
11,14,Complete Greedy
11,19,Complete Greedy
11,1,Complete Greedy
11,9,Complete Greedy
11,60,Complete Greedy
11,14,Complete Greedy
11,8,Complete Greedy
11,100,Complete Greedy
11,10,Complete Greedy
11,40,Complete Greedy
11,24,Complete Greedy
11,11,Complete Greedy
11,1,Complete Greedy
11,18,Complete Greedy
11,6,Complete Greedy
11,26,Complete Greedy
11,12,Complete Greedy
11,12,Complete Greedy
11,8,Complete Greedy
11,27,Complete Greedy
11,9,Complete Greedy
11,17,Complete Greedy
12,15,Complete Greedy
12,18,Complete Greedy
12,5,Complete Greedy
12,4,Complete Greedy
12,41,Complete Greedy
12,23,Complete Greedy
12,4,Complete Greedy
12,12,Complete Greedy
12,23,Complete Greedy
12,45,Complete Greedy
12,6,Complete Greedy
12,4,Complete Greedy
12,2,Complete Greedy
12,8,Complete Greedy
12,21,Complete Greedy
12,0,Complete Greedy
12,3,Complete Greedy
12,17,Complete Greedy
12,1,Complete Greedy
12,3,Complete Greedy
12,5,Complete Greedy
12,31,Complete Greedy
12,22,Complete Greedy
12,5,Complete Greedy
12,6,Complete Greedy
13,9,Complete Greedy
13,12,Complete Greedy
13,13,Complete Greedy
13,1,Complete Greedy
13,55,Complete Greedy
13,15,Complete Greedy
13,5,Complete Greedy
13,73,Complete Greedy
13,8,Complete Greedy
13,19,Complete Greedy
